[22, 7947,
 8428, 1211,
 4981, 9611,
 3785, 6039,
 1898, 2504,
 5675, 7874,
 5987, 3698,
 7084, 2557,
 7278, 8326,
 3133, 5862,
 9903, 9414,
 2733, 2399,
 1770, 770,
 4175, 7162,
 6494, 2026,
 2738, 7317,
 4566, 4613,
 3424, 4482,
 3724, 3630,
 4223, 5426,
 3343, 2641,
 3989, 9899,
 6648, 4541,
 3703, 329,
 8442, 8816,
 4579, 526,
 9270, 8927,
 4884, 5284,
 6186, 8780,
 5022, 110,
 28, 7590,
 1622, 7241,
 3986, 602,
 1093, 6930,
 8732, 4338,
 7034, 4874,
 9275, 285,
 5046, 2578,
 9778, 4903,
 8329, 596,
 6295, 9967,
 9947, 3575,
 7050, 5119,
 8982, 1548,
 8299, 1866,
 8055, 9044,
 5647, 9669,
 7705, 3055,
 686, 9377,
 753, 5654]
