[22, 28,
 110, 285,
 329, 526,
 596, 602,
 686, 753,
 770, 1093,
 1211, 1548,
 1622, 1770,
 1866, 1898,
 2026, 2399,
 2504, 2557,
 2578, 2641,
 2733, 2738,
 3055, 3133,
 3343, 3424,
 3575, 3630,
 3698, 3703,
 3724, 3785,
 3986, 3989,
 4175, 4223,
 4338, 4482,
 4541, 4566,
 4579, 4613,
 4874, 4884,
 4903, 4981,
 5022, 5046,
 5119, 5284,
 5426, 5647,
 5654, 5675,
 5862, 5987,
 6039, 6186,
 6295, 6494,
 6648, 6930,
 7034, 7050,
 7084, 7162,
 7241, 7278,
 7317, 7590,
 7705, 7874,
 7947, 8055,
 8299, 8326,
 8329, 8428,
 8442, 8732,
 8780, 8816,
 8927, 8982,
 9044, 9270,
 9275, 9377,
 9414, 9611,
 9669, 9778,
 9899, 9903,
 9947, 9967]
